,tag_id,tag,learning_goal_id,learning_byte_id
106,1,atomic structure,1156,2105
107,1,atomic structure,1157,2104
108,1,atomic structure,999,2111
109,1,atomic structure,1374,2242
110,1,atomic structure,1374,2244
111,1,atomic structure,1374,2245
112,1,atomic structure,1374,2248
113,1,atomic structure,1374,2246
114,1,atomic structure,1374,2250
115,1,atomic structure,1381,2009
116,2,atom,1296,4
117,2,atom,7,753
118,2,atom,7,2
119,2,atom,1298,7
120,2,atom,75,337
121,2,atom,77,399
122,2,atom,74,19
123,2,atom,83,369
124,2,atom,52,3
125,2,atom,1302,417
126,2,atom,1302,416
127,2,atom,1296,1
128,2,atom,76,971
129,2,atom,1298,973
130,2,atom,70,313
131,2,atom,1296,313
132,2,atom,7,314
133,2,atom,1296,976
134,2,atom,7,311
135,2,atom,7,987
136,2,atom,7,988
137,2,atom,1234,569
138,2,atom,1296,343
139,2,atom,1296,344
140,2,atom,295,571
141,2,atom,406,1648
142,2,atom,406,1649
143,2,atom,1296,1808
144,2,atom,1296,1809
145,2,atom,1296,1834
146,2,atom,1296,1835
147,2,atom,1299,1830
148,2,atom,1299,1831
149,2,atom,1299,1832
150,2,atom,1351,1872
151,2,atom,1309,1906
152,2,atom,82,1960
153,2,atom,274,511
154,2,atom,1373,2267
155,2,atom,1373,2268
156,2,atom,1373,2269
157,3,element,230,865
158,3,element,230,866
159,3,element,1296,4
160,3,element,1299,9
161,3,element,7,2
162,3,element,72,16
163,3,element,1298,7
164,3,element,7,6
165,3,element,1296,14
166,3,element,73,13
167,3,element,73,13
168,3,element,74,15
169,3,element,72,18
170,3,element,72,17
171,3,element,7,10
172,3,element,1299,10
173,3,element,1,8
174,3,element,1297,8
175,3,element,1299,8
176,3,element,74,19
177,3,element,52,3
178,3,element,79,20
179,3,element,80,20
180,3,element,79,21
181,3,element,80,21
182,3,element,79,22
183,3,element,1296,1
184,3,element,357,1042
185,3,element,887,1989
186,3,element,1373,2267
187,3,element,1373,2268
188,3,element,1373,2269
189,3,element,1373,2365
190,3,element,1373,2366
191,3,element,1381,2367
192,3,element,1381,2368
193,4,nucleus,60,12
194,4,nucleus,1296,940
195,4,nucleus,1296,941
196,4,nucleus,1296,939
197,4,nucleus,1298,7
198,4,nucleus,7,6
199,4,nucleus,1299,942
200,4,nucleus,7,932
201,4,nucleus,1296,932
202,4,nucleus,1296,943
203,4,nucleus,72,18
204,4,nucleus,72,17
205,4,nucleus,74,19
206,4,nucleus,61,11
207,4,nucleus,1302,417
208,4,nucleus,1296,955
209,4,nucleus,1296,956
210,4,nucleus,76,971
211,4,nucleus,1298,973
212,4,nucleus,347,681
213,4,nucleus,348,684
214,4,nucleus,347,682
215,4,nucleus,1296,343
216,4,nucleus,1296,344
217,4,nucleus,271,642
218,4,nucleus,347,1083
219,4,nucleus,347,1084
220,4,nucleus,375,1657
221,4,nucleus,375,1656
222,4,nucleus,375,1658
223,4,nucleus,347,1672
224,4,nucleus,347,1673
225,4,nucleus,347,1704
226,4,nucleus,347,1705
227,4,nucleus,350,1060
228,4,nucleus,1351,1871
229,4,nucleus,1296,1942
230,4,nucleus,1296,1943
231,4,nucleus,75,1945
232,4,nucleus,75,1944
233,4,nucleus,75,1946
234,4,nucleus,75,1947
235,4,nucleus,914,1988
236,4,nucleus,914,1991
237,4,nucleus,914,1996
238,4,nucleus,914,1997
239,4,nucleus,914,2000
240,4,nucleus,914,2002
241,4,nucleus,914,2010
242,4,nucleus,914,2011
243,4,nucleus,1005,2012
244,4,nucleus,1380,2282
245,4,nucleus,1380,2283
246,4,nucleus,1380,2281
247,5,proton,1296,940
248,5,proton,1296,941
249,5,proton,1296,939
250,5,proton,52,754
251,5,proton,1296,931
252,5,proton,7,931
253,5,proton,1299,931
254,5,proton,1296,755
255,5,proton,52,758
256,5,proton,1298,7
257,5,proton,7,6
258,5,proton,75,631
259,5,proton,77,631
260,5,proton,1299,942
261,5,proton,7,932
262,5,proton,1296,932
263,5,proton,1296,943
264,5,proton,74,19
265,5,proton,61,11
266,5,proton,52,3
267,5,proton,1296,955
268,5,proton,1296,956
269,5,proton,76,971
270,5,proton,1296,972
271,5,proton,1298,973
272,5,proton,70,313
273,5,proton,1296,313
274,5,proton,7,314
275,5,proton,1296,976
276,5,proton,7,311
277,5,proton,7,987
278,5,proton,7,988
279,5,proton,279,1080
280,5,proton,158,1473
281,5,proton,158,1474
282,5,proton,1296,1808
283,5,proton,1296,1809
284,5,proton,1296,1810
285,5,proton,1296,1811
286,5,proton,1299,1830
287,5,proton,1299,1831
288,5,proton,1299,1832
289,5,proton,1351,1871
290,5,proton,756,1178
291,5,proton,1296,1942
292,5,proton,1296,1943
293,5,proton,75,1945
294,5,proton,75,1944
295,5,proton,75,1946
296,5,proton,75,1947
297,5,proton,914,1991
298,5,proton,914,1996
299,5,proton,914,2000
300,5,proton,914,2002
301,5,proton,914,2010
302,5,proton,987,1080
303,5,proton,1403,2985
304,5,proton,1403,2986
305,5,proton,1403,2991
306,5,proton,1403,2998
307,6,neutron,60,12
308,6,neutron,1296,940
309,6,neutron,1296,941
310,6,neutron,1296,939
311,6,neutron,52,754
312,6,neutron,1296,931
313,6,neutron,7,931
314,6,neutron,1299,931
315,6,neutron,1296,755
316,6,neutron,52,758
317,6,neutron,1298,7
318,6,neutron,7,6
319,6,neutron,75,631
320,6,neutron,77,631
321,6,neutron,1299,942
322,6,neutron,7,932
323,6,neutron,1296,932
324,6,neutron,1296,943
325,6,neutron,74,19
326,6,neutron,61,11
327,6,neutron,52,3
328,6,neutron,76,971
329,6,neutron,1296,972
330,6,neutron,1298,973
331,6,neutron,70,313
332,6,neutron,1296,313
333,6,neutron,7,314
334,6,neutron,1296,976
335,6,neutron,7,311
336,6,neutron,7,987
337,6,neutron,7,988
338,6,neutron,1296,1808
339,6,neutron,1296,1809
340,6,neutron,1296,1810
341,6,neutron,1296,1811
342,6,neutron,1296,1835
343,6,neutron,1299,1830
344,6,neutron,1299,1831
345,6,neutron,1299,1832
346,6,neutron,1351,1872
347,6,neutron,1296,1942
348,6,neutron,1296,1943
349,6,neutron,75,1945
350,6,neutron,75,1944
351,6,neutron,75,1946
352,6,neutron,75,1947
353,6,neutron,914,1991
354,6,neutron,914,1997
355,6,neutron,924,2001
356,6,neutron,914,2011
357,7,symbol,1296,4
358,7,symbol,1299,9
359,7,symbol,72,16
360,7,symbol,1296,14
361,7,symbol,73,13
362,7,symbol,73,13
363,7,symbol,74,15
364,7,symbol,7,10
365,7,symbol,1299,10
366,7,symbol,1,8
367,7,symbol,1297,8
368,7,symbol,1299,8
369,7,symbol,1299,1830
370,7,symbol,357,1042
371,8,atomic number,396,691
372,8,atomic number,1296,4
373,8,atomic number,1298,757
374,8,atomic number,1297,756
375,8,atomic number,1296,940
376,8,atomic number,1296,939
377,8,atomic number,52,754
378,8,atomic number,1296,931
379,8,atomic number,7,931
380,8,atomic number,1299,931
381,8,atomic number,1296,755
382,8,atomic number,52,758
383,8,atomic number,1299,9
384,8,atomic number,72,16
385,8,atomic number,1299,942
386,8,atomic number,1296,14
387,8,atomic number,73,13
388,8,atomic number,73,13
389,8,atomic number,74,15
390,8,atomic number,72,18
391,8,atomic number,72,17
392,8,atomic number,7,10
393,8,atomic number,1299,10
394,8,atomic number,1,8
395,8,atomic number,1297,8
396,8,atomic number,1299,8
397,8,atomic number,74,19
398,8,atomic number,52,3
399,8,atomic number,1296,1
400,8,atomic number,1298,973
401,8,atomic number,70,313
402,8,atomic number,1296,313
403,8,atomic number,7,314
404,8,atomic number,1296,976
405,8,atomic number,1296,1834
406,8,atomic number,1296,1835
407,8,atomic number,1299,1830
408,8,atomic number,1299,1831
409,8,atomic number,1299,1832
410,8,atomic number,180,586
411,9,atomic mass,1296,4
412,9,atomic mass,1298,757
413,9,atomic mass,1297,756
414,9,atomic mass,1296,939
415,9,atomic mass,52,754
416,9,atomic mass,7,753
417,9,atomic mass,1296,931
418,9,atomic mass,7,931
419,9,atomic mass,1299,931
420,9,atomic mass,1296,755
421,9,atomic mass,52,758
422,9,atomic mass,1299,9
423,9,atomic mass,72,16
424,9,atomic mass,77,424
425,9,atomic mass,75,337
426,9,atomic mass,75,334
427,9,atomic mass,75,631
428,9,atomic mass,77,631
429,9,atomic mass,77,399
430,9,atomic mass,1299,942
431,9,atomic mass,7,944
432,9,atomic mass,7,945
433,9,atomic mass,1296,14
434,9,atomic mass,73,13
435,9,atomic mass,73,13
436,9,atomic mass,74,15
437,9,atomic mass,72,18
438,9,atomic mass,72,17
439,9,atomic mass,7,10
440,9,atomic mass,1299,10
441,9,atomic mass,1,8
442,9,atomic mass,1297,8
443,9,atomic mass,1299,8
444,9,atomic mass,74,19
445,9,atomic mass,82,338
446,9,atomic mass,79,423
447,9,atomic mass,79,629
448,9,atomic mass,82,533
449,9,atomic mass,120,533
450,9,atomic mass,79,20
451,9,atomic mass,80,20
452,9,atomic mass,79,21
453,9,atomic mass,80,21
454,9,atomic mass,79,952
455,9,atomic mass,80,952
456,9,atomic mass,79,22
457,9,atomic mass,1296,972
458,9,atomic mass,80,1837
459,9,atomic mass,1299,1830
460,9,atomic mass,1299,1831
461,9,atomic mass,1299,1832
462,9,atomic mass,1298,1845
463,9,atomic mass,74,1846
464,9,atomic mass,83,1850
465,9,atomic mass,1298,1864
466,9,atomic mass,74,1865
467,9,atomic mass,83,1870
468,9,atomic mass,86,1011
469,9,atomic mass,83,1961
470,9,atomic mass,922,2161
471,10,mass number,1296,4
472,10,mass number,1299,9
473,10,mass number,72,16
474,10,mass number,1298,7
475,10,mass number,77,424
476,10,mass number,75,337
477,10,mass number,75,334
478,10,mass number,75,631
479,10,mass number,77,631
480,10,mass number,77,399
481,10,mass number,1296,14
482,10,mass number,73,13
483,10,mass number,73,13
484,10,mass number,74,15
485,10,mass number,7,10
486,10,mass number,1299,10
487,10,mass number,1,8
488,10,mass number,1297,8
489,10,mass number,1299,8
490,10,mass number,79,952
491,10,mass number,80,952
492,10,mass number,1296,1
493,10,mass number,1299,1831
494,11,isotope,1296,4
495,11,isotope,1299,9
496,11,isotope,72,16
497,11,isotope,1299,942
498,11,isotope,73,422
499,11,isotope,73,13
500,11,isotope,73,13
501,11,isotope,74,15
502,11,isotope,72,18
503,11,isotope,72,17
504,11,isotope,7,10
505,11,isotope,1299,10
506,11,isotope,80,400
507,11,isotope,74,400
508,11,isotope,1,8
509,11,isotope,1297,8
510,11,isotope,1299,8
511,11,isotope,74,19
512,11,isotope,79,423
513,11,isotope,79,20
514,11,isotope,80,20
515,11,isotope,79,21
516,11,isotope,80,21
517,11,isotope,79,952
518,11,isotope,80,952
519,11,isotope,79,22
520,11,isotope,74,1846
521,11,isotope,74,1865
522,11,isotope,922,1915
523,11,isotope,75,1945
524,11,isotope,75,1944
525,11,isotope,75,1946
526,11,isotope,75,1947
527,11,isotope,80,1953
528,11,isotope,80,2124
529,13,molecule,514,736
530,13,molecule,514,737
531,13,molecule,514,738
532,13,molecule,75,334
533,13,molecule,77,399
534,13,molecule,1,302
535,13,molecule,7,302
536,13,molecule,1301,302
537,13,molecule,385,366
538,13,molecule,100,366
539,13,molecule,83,630
540,13,molecule,83,369
541,13,molecule,82,533
542,13,molecule,120,533
543,13,molecule,84,331
544,13,molecule,84,333
545,13,molecule,79,20
546,13,molecule,80,20
547,13,molecule,79,21
548,13,molecule,80,21
549,13,molecule,79,22
550,13,molecule,1296,953
551,13,molecule,1296,954
552,13,molecule,1301,974
553,13,molecule,1301,975
554,13,molecule,113,977
555,13,molecule,113,978
556,13,molecule,92,979
557,13,molecule,92,980
558,13,molecule,7,311
559,13,molecule,7,987
560,13,molecule,7,988
561,13,molecule,534,1195
562,13,molecule,534,1196
563,13,molecule,534,1197
564,13,molecule,1254,1198
565,13,molecule,1254,1199
566,13,molecule,1254,1200
567,13,molecule,39,1232
568,13,molecule,39,1233
569,13,molecule,515,1558
570,13,molecule,515,1559
571,13,molecule,515,1562
572,13,molecule,515,1563
573,13,molecule,475,1599
574,13,molecule,475,1600
575,13,molecule,470,1626
576,13,molecule,470,1627
577,13,molecule,1307,1800
578,13,molecule,1307,1801
579,13,molecule,84,1828
580,13,molecule,1307,1833
581,13,molecule,1254,24
582,13,molecule,1254,25
583,13,molecule,650,1847
584,13,molecule,83,1850
585,13,molecule,650,1866
586,13,molecule,83,1870
587,13,molecule,83,1961
588,13,molecule,1392,1804
589,13,molecule,1392,1805
590,13,molecule,1384,2369
591,13,molecule,1384,2370
592,13,molecule,1384,2371
593,13,molecule,1384,2372
594,13,molecule,1384,2374
595,13,molecule,1384,2373
596,13,molecule,1384,2375
597,13,molecule,1384,2376
598,13,molecule,1384,2377
599,13,molecule,1384,2378
600,13,molecule,1384,2379
601,13,molecule,1384,2380
602,13,molecule,1384,2381
603,13,molecule,1384,2382
604,13,molecule,1384,2383
605,13,molecule,1384,2384
606,13,molecule,1384,2385
607,13,molecule,1384,2388
608,13,molecule,1384,2490
609,14,molecular mass,77,424
610,14,molecular mass,75,631
611,14,molecular mass,77,631
612,14,molecular mass,77,399
613,14,molecular mass,128,418
614,14,molecular mass,79,423
615,14,molecular mass,79,629
616,14,molecular mass,82,533
617,14,molecular mass,120,533
618,14,molecular mass,116,532
619,14,molecular mass,79,20
620,14,molecular mass,80,20
621,14,molecular mass,79,21
622,14,molecular mass,80,21
623,14,molecular mass,79,952
624,14,molecular mass,80,952
625,14,molecular mass,79,22
626,14,molecular mass,83,1021
627,14,molecular mass,1248,1114
628,14,molecular mass,120,1952
629,14,molecular mass,80,1953
630,14,molecular mass,112,1957
631,15,mass spectra,80,401
632,15,mass spectra,79,423
633,15,mass spectra,79,629
634,15,mass spectra,79,20
635,15,mass spectra,80,20
636,15,mass spectra,79,21
637,15,mass spectra,80,21
638,15,mass spectra,79,22
639,15,mass spectra,80,1829
640,15,mass spectra,80,1837
641,16,mass spectrum,273,487
642,16,mass spectrum,112,947
643,16,mass spectrum,112,419
644,16,mass spectrum,80,400
645,16,mass spectrum,74,400
646,16,mass spectrum,80,403
647,16,mass spectrum,80,425
648,16,mass spectrum,80,401
649,16,mass spectrum,79,20
650,16,mass spectrum,80,20
651,16,mass spectrum,79,21
652,16,mass spectrum,80,21
653,16,mass spectrum,79,22
654,16,mass spectrum,80,1829
655,16,mass spectrum,80,1837
656,16,mass spectrum,110,1848
657,16,mass spectrum,110,1867
658,16,mass spectrum,1355,1876
659,16,mass spectrum,110,1959
660,16,mass spectrum,922,2086
661,16,mass spectrum,922,2161
662,17,relative mass,77,424
663,17,relative mass,75,337
664,17,relative mass,75,334
665,17,relative mass,75,631
666,17,relative mass,77,631
667,17,relative mass,77,399
668,17,relative mass,128,365
669,17,relative mass,79,20
670,17,relative mass,80,20
671,17,relative mass,79,21
672,17,relative mass,80,21
673,17,relative mass,79,952
674,17,relative mass,80,952
675,17,relative mass,79,22
676,17,relative mass,79,1948
677,17,relative mass,79,1949
678,17,relative mass,120,1952
679,17,relative mass,124,1954
680,18,deuterium,73,422
681,18,deuterium,73,397
682,18,deuterium,79,22
683,18,deuterium,79,20
684,18,deuterium,80,20
685,18,deuterium,79,21
686,18,deuterium,80,21
687,18,deuterium,79,952
688,18,deuterium,80,952
689,18,deuterium,1360,1921
690,21,dipole,383,568
691,21,dipole,414,570
692,21,dipole,1254,773
693,21,dipole,1254,774
694,21,dipole,1254,775
695,21,dipole,418,1068
696,21,dipole,550,1245
697,21,dipole,550,1246
698,21,dipole,1256,1247
699,21,dipole,1256,1248
700,21,dipole,1256,1249
701,21,dipole,1256,1250
702,21,dipole,1256,1251
703,21,dipole,554,1256
704,21,dipole,554,1257
705,21,dipole,553,1258
706,21,dipole,553,1259
707,21,dipole,414,1628
708,21,dipole,414,1629
709,21,dipole,415,1630
710,21,dipole,415,1631
711,21,dipole,553,26
712,21,dipole,553,27
713,21,dipole,551,28
714,21,dipole,551,29
715,21,dipole,415,32
716,21,dipole,415,33
717,21,dipole,542,48
718,21,dipole,1383,2414
719,21,dipole,1383,2415
720,21,dipole,1383,2416
721,21,dipole,1383,2417
722,22,polar molecules,550,1245
723,22,polar molecules,550,1246
724,22,polar molecules,551,28
725,22,polar molecules,551,29
726,22,polar molecules,558,38
727,22,polar molecules,558,39
728,22,polar molecules,1384,2504
729,22,polar molecules,1389,2693
730,23,nonpolar molecules,389,1034
731,23,nonpolar molecules,554,1254
732,23,nonpolar molecules,554,1255
733,23,nonpolar molecules,1259,1275
734,23,nonpolar molecules,1259,1276
735,23,nonpolar molecules,1254,1277
736,23,nonpolar molecules,1254,1278
737,23,nonpolar molecules,1254,1271
738,23,nonpolar molecules,1254,1272
739,23,nonpolar molecules,1322,30
740,23,nonpolar molecules,1322,31
741,23,nonpolar molecules,1322,42
742,23,nonpolar molecules,1322,43
743,25,dipole fluctuations,554,1256
744,25,dipole fluctuations,554,1257
745,25,dipole fluctuations,415,32
746,25,dipole fluctuations,415,33
747,25,dipole fluctuations,555,34
748,25,dipole fluctuations,555,35
749,25,dipole fluctuations,1257,36
750,25,dipole fluctuations,1257,37
751,25,dipole fluctuations,1390,1260
752,26,dispersion forces,1306,961
753,26,dispersion forces,1306,962
754,26,dispersion forces,554,1254
755,26,dispersion forces,554,1255
756,26,dispersion forces,553,1258
757,26,dispersion forces,553,1259
758,26,dispersion forces,555,34
759,26,dispersion forces,555,35
760,26,dispersion forces,1257,36
761,26,dispersion forces,1257,37
762,26,dispersion forces,1253,2613
763,26,dispersion forces,1397,2789
764,26,dispersion forces,1397,2792
765,27,London/van der Waals,1254,776
766,27,London/van der Waals,1254,777
767,27,London/van der Waals,1254,778
768,27,London/van der Waals,549,1238
769,27,London/van der Waals,549,1239
770,27,London/van der Waals,553,1258
771,27,London/van der Waals,553,1259
772,27,London/van der Waals,1257,1261
773,27,London/van der Waals,1257,1262
774,27,London/van der Waals,1257,1263
775,27,London/van der Waals,558,1264
776,27,London/van der Waals,558,1265
777,27,London/van der Waals,555,1266
778,27,London/van der Waals,558,1269
779,27,London/van der Waals,558,1270
780,27,London/van der Waals,555,34
781,27,London/van der Waals,555,35
782,27,London/van der Waals,1257,36
783,27,London/van der Waals,1257,37
784,27,London/van der Waals,1390,1260
785,27,London/van der Waals,1389,2604
786,27,London/van der Waals,1389,2670
787,27,London/van der Waals,1389,2671
788,27,London/van der Waals,1389,2674
789,27,London/van der Waals,1389,2682
790,27,London/van der Waals,1389,2683
791,27,London/van der Waals,1389,2687
792,27,London/van der Waals,1389,2693
793,27,London/van der Waals,1389,2691
794,27,London/van der Waals,1397,2789
795,27,London/van der Waals,1397,2792
796,28,hydrogen bonding,1254,773
797,28,hydrogen bonding,1254,774
798,28,hydrogen bonding,1254,775
799,28,hydrogen bonding,427,860
800,28,hydrogen bonding,558,1264
801,28,hydrogen bonding,558,1265
802,28,hydrogen bonding,555,1266
803,28,hydrogen bonding,1259,1267
804,28,hydrogen bonding,1259,1268
805,28,hydrogen bonding,558,1269
806,28,hydrogen bonding,558,1270
807,28,hydrogen bonding,1254,1273
808,28,hydrogen bonding,1254,1274
809,28,hydrogen bonding,1259,1275
810,28,hydrogen bonding,1259,1276
811,28,hydrogen bonding,1254,1277
812,28,hydrogen bonding,1254,1278
813,28,hydrogen bonding,570,1421
814,28,hydrogen bonding,558,38
815,28,hydrogen bonding,558,39
816,28,hydrogen bonding,1259,40
817,28,hydrogen bonding,1259,41
818,28,hydrogen bonding,1322,42
819,28,hydrogen bonding,1322,43
820,28,hydrogen bonding,1322,44
821,28,hydrogen bonding,1322,45
822,28,hydrogen bonding,1385,592
823,28,hydrogen bonding,1253,2609
824,28,hydrogen bonding,1253,2611
825,28,hydrogen bonding,1253,2612
826,28,hydrogen bonding,1389,2682
827,28,hydrogen bonding,1389,2683
828,28,hydrogen bonding,1389,2687
829,28,hydrogen bonding,1389,2691
830,28,hydrogen bonding,1390,2726
831,28,hydrogen bonding,1390,2727
832,28,hydrogen bonding,1390,2728
833,28,hydrogen bonding,1390,2730
834,28,hydrogen bonding,1390,2731
835,28,hydrogen bonding,1390,2732
836,28,hydrogen bonding,1390,2735
837,28,hydrogen bonding,1397,2789
838,28,hydrogen bonding,1397,2792
839,29,polar,383,567
840,29,polar,383,568
841,29,polar,558,1264
842,29,polar,558,1265
843,29,polar,555,1266
844,29,polar,558,38
845,29,polar,558,39
846,29,polar,1389,2603
847,29,polar,1253,2610
848,30,water,592,783
849,30,water,1261,784
850,30,water,10,813
851,30,water,27,816
852,30,water,214,849
853,30,water,8,218
854,30,water,1303,218
855,30,water,116,532
856,30,water,113,977
857,30,water,113,978
858,30,water,1259,1267
859,30,water,1259,1268
860,30,water,558,1269
861,30,water,558,1270
862,30,water,592,1309
863,30,water,722,1480
864,30,water,722,1481
865,30,water,725,1489
866,30,water,725,1490
867,30,water,9,1802
868,30,water,9,1803
869,30,water,1259,40
870,30,water,1259,41
871,30,water,1390,2726
872,30,water,1390,2727
873,30,water,1390,2728
874,30,water,1390,2730
875,30,water,1390,2731
876,30,water,1390,2732
877,30,water,1390,2735
878,30,water,1390,2774
879,30,water,1403,2990
880,30,water,1403,2992
881,30,water,1403,2997
882,30,water,1403,3000
883,30,water,1405,243
884,30,water,1403,258
885,30,water,1403,259
886,30,water,1405,260
887,30,water,1405,261
888,30,water,1405,262
889,30,water,1405,263
890,30,water,1407,3099
891,30,water,1407,3098
892,30,water,1407,3105
893,30,water,1407,3106
894,30,water,1407,3107
895,30,water,1407,3108
896,30,water,1407,3109
897,30,water,1407,3110
898,30,water,1407,3111
899,30,water,1407,3112
900,30,water,1407,3113
901,31,hydrophobic,1254,1273
902,31,hydrophobic,1254,1274
903,31,hydrophobic,1254,1271
904,31,hydrophobic,1254,1272
905,31,hydrophobic,1322,42
906,31,hydrophobic,1322,43
907,31,hydrophobic,1322,44
908,31,hydrophobic,1322,45
909,32,binding probability,1251,1286
910,32,binding probability,1251,1287
911,32,binding probability,545,46
912,32,binding probability,542,101
913,32,binding probability,545,49
914,32,binding probability,542,50
915,32,binding probability,545,57
916,32,binding probability,545,58
917,33,binding,1254,1288
918,33,binding,542,47
919,33,binding,542,48
920,36,Boltzmann,1250,1201
921,36,Boltzmann,1250,1202
922,36,Boltzmann,1251,1282
923,36,Boltzmann,1251,1283
924,36,Boltzmann,1251,1286
925,36,Boltzmann,1251,1287
926,36,Boltzmann,1250,1289
927,36,Boltzmann,1250,1290
928,36,Boltzmann,27,1295
929,36,Boltzmann,545,51
930,36,Boltzmann,545,52
931,36,Boltzmann,545,63
932,36,Boltzmann,545,64
933,36,Boltzmann,1388,2640
934,36,Boltzmann,1388,2642
935,36,Boltzmann,1388,2643
936,36,Boltzmann,1388,2648
937,36,Boltzmann,1388,2649
938,36,Boltzmann,1388,2650
939,36,Boltzmann,1388,2651
940,36,Boltzmann,1388,2653
941,36,Boltzmann,1388,2654
942,36,Boltzmann,1398,2927
943,36,Boltzmann,1398,2928
944,37,probability,1222,476
945,37,probability,292,481
946,37,probability,292,480
947,37,probability,292,640
948,37,probability,1222,475
949,37,probability,1222,657
950,37,probability,1305,433
951,37,probability,1235,641
952,37,probability,342,641
953,37,probability,545,1227
954,37,probability,545,1229
955,37,probability,545,1228
956,37,probability,1251,1282
957,37,probability,1251,1283
958,37,probability,1251,1284
959,37,probability,1251,1285
960,37,probability,1251,1286
961,37,probability,1251,1287
962,37,probability,1250,1289
963,37,probability,1250,1290
964,37,probability,786,1293
965,37,probability,786,1294
966,37,probability,1232,1737
967,37,probability,1232,1738
968,37,probability,292,1739
969,37,probability,292,1740
970,37,probability,292,1749
971,37,probability,293,1752
972,37,probability,1232,1755
973,37,probability,1232,1756
974,37,probability,786,1349
975,37,probability,786,1350
976,37,probability,545,51
977,37,probability,545,52
978,37,probability,545,63
979,37,probability,545,64
980,37,probability,786,128
981,37,probability,786,129
982,37,probability,1372,2301
983,37,probability,1372,2303
984,37,probability,1372,2304
985,37,probability,1398,2836
986,38,fluctuations,1251,1284
987,38,fluctuations,1251,1285
988,38,fluctuations,515,1556
989,38,fluctuations,515,1557
990,38,fluctuations,543,53
991,38,fluctuations,543,54
992,38,fluctuations,543,55
993,38,fluctuations,543,56
994,39,multiplicity,786,867
995,39,multiplicity,786,868
996,39,multiplicity,786,869
997,39,multiplicity,786,870
998,39,multiplicity,787,871
999,39,multiplicity,786,883
1000,39,multiplicity,787,884
1001,39,multiplicity,786,886
1002,39,multiplicity,785,1136
1003,39,multiplicity,512,1292
1004,39,multiplicity,786,1293
1005,39,multiplicity,786,1294
1006,39,multiplicity,786,1337
